date,tI,tO,tC,tM,tF,tS
2011-10-08,2.20,4.85,1.25,3.50,4.00,7.0
2011-10-09,1.25,3.50,2.25,5.50,5.00,7.0
2011-10-10,1.00,4.00,2.00,4.25,5.50,6.0
2011-10-11,0.50,3.25,3.50,6.00,4.00,7.0
2011-10-12,3.00,3.50,1.50,5.50,4.00,7.0
2011-10-13,1.50,7.00,4.75,4.75,1.00,6.0
2011-10-14,1.50,7.50,2.25,0.75,4.50,6.0
2011-10-17,0.00,4.00,0.50,7.00,4.00,7.0
2011-10-18,1.75,3.50,0.00,5.50,4.50,7.0
2011-10-19,1.00,3.50,5.00,3.00,1.00,7.0
2011-10-20,0.00,4.50,6.00,4.00,1.00,7.0
2011-10-21,0.00,3.75,2.50,5.00,4.00,7.0
2011-10-24,0.00,5.50,0.50,7.25,4.00,7.0
2011-10-25,0.00,7.00,3.00,3.00,4.00,7.0
2011-10-26,1.00,3.25,2.50,5.00,4.50,6.5
2011-10-27,1.25,5.50,3.75,4.50,1.50,7.0
2011-10-28,0.50,7.00,0.50,4.00,6.00,7.0
2011-10-31,1.75,5.50,0.75,4.00,4.50,7.0
